,id,url,tytul,opis,cena,prywatne,model,rok_produkcji,paliwo,przebieg,pojemnosc,skrzynia_biegow,kraj_pochodzenia,moc
0,900610639,https://www.olx.pl/d/oferta/sprzedam-e39-zapraszam-do-kupna-i-polecam-CID5-IDYVRY3.html,Sprzedam E39 zapraszam do kupna i polecam,"Zapraszam do kupna BMW jest to ostatnie wydanie E39 z 2003 roku jest bardzo dobrze wyposazone Z niezawodna jednostka 2.2 ,170koni zapraszam wiecej informacji udziele tel",7000,True,Seria 5,2003,LPG,340000,,Automatyczna,Polska,
1,1020156337,https://www.olx.pl/d/oferta/bmw-e65-730d-lift-maly-przebieg-bezwypadkowe-auto-od-wlasciciela-CID5-ID172tgt.html,"BMW e65 730d lift mały przebieg, bezwypadkowe auto, od właściciela","BMW e65 730d z silnikiem m57d30n2 i mocą 231km.Z ciekawszych rzeczy:.- podwójne szyby.- dociągi drzwi.- keyless.- hydroklapa.- logic7.- komfort sitze.- bezwypadek.Samochód sprowadziłem z Niemiec, gdzie był na bieżąco serwisowany, potwierdzony przebieg tuvami, etc.Serce auta bije jak dzwon, przyspiesza pięknie, bez żadnych dziwnych odgłosów czy kolorów z wydechu, ma fabryczną ekologię, żadnych map, etc. Cała jest taka jak wyszła z fabryki, łącznie z felgami, jest bezwypadkowa, lakierowane były 2 czy 3 elementy, przebieg ma bardzo niski, ma nowe aku agm, rozrząd, bieżący serwis, zdrową blachę, ZERO grzebania przez naszych ""mechaników"" w wiązkach, etc.Dzwonić: 793x993x936",29900,True,Seria 7,2005,Diesel,282000,2998.0,Automatyczna,Niemcy,231.0
2,1030509956,https://www.olx.pl/d/oferta/bmw-e36-m-pakiet-325i-m50b25-2-5-benzyna-192-km-CID5-ID17JUIk.html,"BMW e36 M pakiet 325i M50b25 2,5 benzyna 192 KM","Witam mam na sprzedaż fajne autko jakim jest BMW e36 z silnikiem M50b35 2,5 benzyna 192 konie mechaniczne po swapie z 1,8. W aucie ostatnio zostały zrobione nowe progi..Do auta został dołożony mpakiet..Zawieszenie gwintowane przejechane może 200km..Dyfer spaw.Short shifter.W dowodzie jest wbity gaz lecz butli nie ma.Wszystkie cewki wymienione na nowe.Nowy olej i filtry.Przegląd oraz ubezpieczenie na rok.Po więcej informacji zapraszam w wiadomości prywatnej lub pod nr tel 78*****00.Zależy mi na szybkiej sprzedaży",9900,True,Seria 3,1997,Benzyna,300000,,Manualna,Polska,192.0
3,1034463478,https://www.olx.pl/d/oferta/bmw-e36-1-8-is-daily-oc-przeglad-CID5-ID180wcO.html,BMW E36 1.8 is Daily OC przegląd,Sprzedam BMW e36 1.8 is 136 km Daily auto jak na 30 lat prezentuje się bardzo ładnie silnik I zawieszenie pracują tak jak ma byc czyli podaje progi podłoga na swoim miejscu.Wyposażenie.- wspomaganie kierownicy.- centralny zamek.- lampy soczewka ZKW.- gwint przód tarcza 2.8 wentylowana.- tuleje wahacza acentryki.- tył gwint regulacja anor MTS.- dyfer 3.35 spaw.- Short Shifter.- fotele jasna skóra.- kierownica trójramienna.Pewnie o czymś zapomniałem.przegląd I OC do 25.10.2026 NIE ZAMIENIAM TYLKO SPRZEDAŻ,10900,True,Seria 3,1992,Benzyna,260000,1800.0,Manualna,Polska,136.0
4,1034250453,https://www.olx.pl/d/oferta/bmw-e39-520d-lift-sedan-alu-klimatronik-2001r-dobra-wersja-CID5-ID17ZBMW.html,BMW E39 520D Lift Sedan Alu Klimatronik 2001R Dobra Wersja !!!,Bmw e39 520D sedan lift z 2001 roku. Auto posiada: Wspomaganie kierownicy centralny zamka elektryczne szyby x4 elektryczne lusterka klimatronik (sprawny) podgrzewane przednie siedzenia radio CD Pionner podłokietnik halogeny Xenon tempomat wielofunkcyjna skórzana kierownica M z multi funkcją komputer pokładowy bardzo ładne alufelgi 17 czujniki parkowania .Technicznie i wizualnie ok. Wnętrze zadbane . Zespół napędowy w dobrym stanie . PT.10.06.2026 OC.Aktualne. Wszystkie szyby w oryginale do auta posiadam książkę serwisową .,7400,True,Seria 5,2001,Diesel,1,1951.0,Manualna,Niemcy,136.0
5,1034017719,https://www.olx.pl/d/oferta/bmw-e30-320i-1989-CID5-ID17YDf9.html,BMW E30 320I 1989,Witam sprzedam bmw e30 320i z 1989r auto posiadam 5 lat sprawy eksploatacyjne robione na bieżąco zarejestrowane na zabytek gwintowane zawieszenie koła 16 cali z lekkim naciągiem . Samochód posiada instalacje gazową pierwszej generacji działającą .Autem jeżdżone w okresie letnim zimą stoi w garażu.tel 6 6 7 0 1 5 3 5 3,30000,True,Seria 3,1989,Benzyna,296000,2000.0,Manualna,Niemcy,129.0
6,1032409208,https://www.olx.pl/d/oferta/sprzedam-bmw-e39-CID5-ID17RSNq.html,Sprzedam BMW E39,Sprzedam BMW E39 rok 2001 poj.2.5 B auto zadbane ważne oc i przegląd techniczny,15500,True,Seria 5,2001,Benzyna,238000,,Automatyczna,Inny,
7,1022758007,https://www.olx.pl/d/oferta/sprzedam-lub-zamienie-bmw-e60-CID5-ID17do4T.html,Sprzedam lub zamienię Bmw e60,Sprzedam Bmw e60 z silnikiem 3.0 diesel m57 na żeliwnym bloku 218 km z automatyczną biegów w której niedawno został wymieniony konwerter oraz olej w skrzyni biegów i miska oleju.Wymieniony został cały układ hamulcowy przod wraz z piastami oraz klocki tył Założony jest nowy akumulator .Zawieszenie przod zmienione wszystkie wachacze na nowe . Oleju wraz filtrami wymieniany co 10 tys kilometrów Zapraszam do zakupu Swieze ubezpieczenie i przeglad Zamiana najlepiej na kombi,17200,True,Seria 5,2003,Diesel,357000,3000.0,Automatyczna,Polska,218.0
8,1031580828,https://www.olx.pl/d/oferta/bmw-e36-compact-318ti-1-8-is-lpg-zamiana-CID5-ID17Opis.html,Bmw e36 compact 318ti 1.8 IS LPG ZAMIANA,"Witam na sprzedaż BMW e36 compact 318ti 1.8 IS m44b19 z 2 letnią instalacją LPG..Auto nie upalane służyło na codzienne dojazdy do pracy, w pełni sprawne. Świeżo wykupione OC przegląd do czerwca.Możliwa zamiana za motocykl cross/enduro.Z wyposażenia:.-edycja sport.-sprawna klimatyzacja.-kompletne zawieszenie mts -35mm nie gwint.-m pakiet.-car audio.-konwersja cewek na m52b25.-komplet opon zimówek.Do auta dodaje graty jak zderzak m, błotnik, nosek , lampy przód tył itp.Z wad:.-Nie działająca szyba od strony kierowcy.-Nie działający wskaźnik paliwa(do wymiany prawy kosz).-świecący błąd poduszki(mata w fotelu pasażera)",11500,True,Seria 3,1998,LPG,295000,1900.0,Manualna,Niemcy,140.0
9,1031452583,https://www.olx.pl/d/oferta/bmw-x5-e70-m57-bi-turbo-286km-panorama-kamery-360-hifi-keyless-CID5-ID17NRWZ.html,Bmw X5 e70 M57 bi turbo 286km panorama kamery 360 hifi keyless,"Sprzedam zadbane BMW X5 E70 3.0d z silnikiem M57..Auto kupione z uszkodzonym silnikiem przy przebiegu 300 tys. km – obecnie zamontowany silnik o przebiegu 100 tys. mil (posiadam VIN i zdjęcia dawcy)..Wykonane prace:.• nowy rozrząd i panewki,.• sprawdzone wtryski i turbiny,.• usunięta ekologia (DPF/EGR),.• wymienione oleje w dyfrach i skrzyni,.• auto po pełnym serwisie – gotowe do jazdy..Auto zakupione od drugiego właściciela (12 lat w jednych rękach)..Stan techniczny i wizualny bardzo dobry..⸻.Wyposażenie:.• Szklany dach panoramiczny.• Fotele elektryczne z pamięcią i podgrzewaniem.• 4-strefowa klimatyzacja automatyczna.• Nawigacja Professional + system HiFi DSP.• Kamera cofania + widok 360°.• Komfortowy dostęp (Keyless).• Klapa bagażnika elektryczna.• Reflektory Xenon.• Tempomat z funkcją hamowania.• System PDC (czujniki przód/tył).• Lusterka fotochromatyczne, roletki tylne.• Wykończenie wnętrza w drewnie bambusowym.⸻.Silnik pracuje równo i cicho, skrzynia działa płynnie..Samochód nie wymaga żadnego wkładu finansowego.",52000,True,X5,2012,Diesel,330000,,Automatyczna,Polska,286.0
